"","hh_ID","freq_mean","pct_meat_mean","pct_fish_mean","pct_protein_mean","meat_calories_mean","fish_calories_mean","protein_calories_mean","calories_total_grams_mean","avg_calories_pp_mean","freq_sd","pct_meat_sd","pct_fish_sd","pct_protein_sd","meat_calories_sd","fish_calories_sd","protein_calories_sd","calories_total_grams_sd","avg_calories_pp_sd","freq_var","pct_meat_var","pct_fish_var","pct_protein_var","meat_calories_var","fish_calories_var","protein_calories_var","calories_total_grams_var","avg_calories_pp_var","numChildren","hh_members","sex","age","maritalStatus","literacy","education","attendingCollege","occupationType","canCarry20L","canWalk5Km","canStandOwn","pctCanCarry20L","pctCanWalk5Km","pctCanStandOwn","house_rooms_sleeping","housefloor_material","houseroof_material","house_elec","housewall_material","business","use_lat","count_latrine","main_use_flush","defecation_public","totalCultivablePlot","totalOwnPlot"
"1",102023,4.86666666666667,0.0888888888888889,0.144444444444444,0.233333333333333,411.111111111111,555.555555555556,966.666666666667,5536.72222222222,1845.57407407407,1.69732108818706,0.145038631902228,0.126412123503994,0.105112744891268,1682.40694648561,1709.10391864979,2299.91450744871,6089.55811763382,2029.85270587794,2.8808988764045,0.0210362047440699,0.015980024968789,0.0110486891385768,2830493.13358302,2921036.20474408,5289606.74157302,37082718.06804,4120302.00755999,0,3,"0",21,"1","4","4","1","prod","1","1","1",1,1,1,2,"mud","tin","0","tin","1","1",3,"0","1",0,1
"2",102025,1.40816326530612,0.163265306122449,0.0408163265306122,0.204081632653061,938.775510204082,326.530612244898,1265.30612244898,4755.40816326531,1585.13605442177,0.496586990824148,0.27740905232693,0.199914947901746,0.321428571428571,2918.39113257992,1599.31958321397,3232.48814256708,2623.68475715585,874.561585718618,0.246598639455782,0.0769557823129251,0.0399659863945578,0.103316326530612,8517006.80272109,2557823.1292517,10448979.5918367,6883721.70493197,764857.967214663,0,3,"0",24,"2","4","3","0","livestock","1","1","1",0.666666666666667,0.666666666666667,1,3,"mud","tin","0","concrete","1","1",1,"1","1",0,1
"3",103032,4.70642201834862,0.119266055045872,0.146788990825688,0.26605504587156,536.697247706422,594.954128440367,1131.65137614679,7573.66972477064,1514.73394495413,2.98856695589727,0.139428107201567,0.202855387499233,0.253869938739331,1948.05983967994,1764.04345281851,2502.44936077875,7579.01270817308,1515.80254163462,8.93153244988108,0.0194401970778117,0.0411503082374642,0.0644499457955116,3794937.13897384,3111849.30343186,6262252.80326199,57441433.630649,2297657.34522596,1,5,"0",28,"1","3","5","0","farming","1","1","1",0.4,0.8,1,3,"mud","tin","0","concrete","1","1",1,"1","1",1,1
"4",103035,3.04166666666667,0.104166666666667,0.145833333333333,0.25,169.833333333333,490.625,660.458333333333,2895.44791666667,482.574652777778,1.00437638852402,0.168845408376493,0.193988605199812,0.206048878547973,605.209431635323,1454.36389604021,1520.87134247144,2568.48373813194,428.080623021991,1.00877192982456,0.0285087719298246,0.0376315789473685,0.0424561403508772,366278.456140351,2115174.34210526,2313049.64035088,6597108.71304825,183253.019806896,2,6,"0",18,"1","4","3","1","nonearning","1","1","1",0.666666666666667,1,0.833333333333333,2,"mud","tin","0","tin","0","1",4,"1","0",1,0
"5",106058,7.15,0.05,0.2,0.25,137.5,1320.625,1458.125,3100.375,620.075,4.4001748217018,0.105409255338946,0.178384893650524,0.180764684430919,669.744497780827,3914.56389611855,3924.2686216343,3594.85073109387,718.970146218774,19.3615384615385,0.0111111111111111,0.0318211702827087,0.0326758711374096,448557.692307692,15323810.4967949,15399884.2147436,12922951.7788462,516918.071153845,2,5,"0",21,"1","4","3","1","nonearning","1","1","1",0.2,0.8,1,3,"other","other","1","other","1","1",2,"1","1",0,1
"6",106063,5.96491228070175,0.0789473684210526,0.087719298245614,0.166666666666667,424.780701754386,478.070175438596,902.850877192982,6026.5350877193,1506.63377192982,3.2666993018214,0.123275770501818,0.118185491416717,0.153779011140836,2193.63645134882,2217.57895458326,3052.85982052244,5497.04796590551,1374.26199147638,10.6713243285204,0.0151969155928169,0.0139678103814108,0.0236479842674532,4812040.88068623,4917656.41981059,9319953.08376031,30217536.3394659,1888596.02121662,2,4,"0",33,"2","3","3","0","trader","1","1","1",0.5,0.5,1,4,"concrete","tin","1","concrete","1","1",2,"1","0",1,1
"7",106064,6.17241379310345,0.120689655172414,0.0948275862068965,0.21551724137931,381.896551724138,482.724137931034,864.620689655172,3337.29310355104,667.458620710208,3.52944351339455,0.133308343485239,0.211075161111347,0.212208585495783,1533.54372999732,1810.70006920795,2293.13838356452,3695.92411927328,739.184823854657,12.4569715142429,0.0177711144427786,0.0445527236381809,0.0450324837581209,2351756.37181409,3278634.74062968,5258483.64617691,13659855.095426,546394.20381704,3,5,"0",46,"2","4","3","0","farming","1","1","1",0.4,0.4,0.8,3,"mud","other","1","concrete","1","1",1,"1","1",0,1
"8",106066,3.25,0.125,0,0.125,375,0,375,2487.5,829.166666666667,1.03509833901353,0.353553390593274,0,0.353553390593274,1060.66017177982,0,1060.66017177982,1682.84410618283,560.948035394276,1.07142857142857,0.125,0,0.125,1125000,0,1125000,2831964.28571429,314662.698412698,0,3,"0",25,"1","4","3","0","farming","1","1","1",0.333333333333333,1,1,2,"concrete","tin","0","concrete","0","1",1,"1","0",1,1
"9",107073,4,0,0.25,0.25,0,3674.99983310699,3674.99983310699,6049.99983310699,2016.66661103567,0,0,0,0,0,7349.99966621399,7349.99966621399,5771.48127869569,1923.82709289856,0,0,0,0,0,54022495.0933458,54022495.0933458,33309996.1503348,3701110.68337053,1,3,"0",38,"2","4","3","0","farming","1","1","1",0.666666666666667,0.666666666666667,1,4,"concrete","other","0","concrete","0","1",1,"1","1",0,0
"10",108089,3.44827586206897,0.172413793103448,0.0862068965517241,0.258620689655172,1008.62068965517,508.01724137931,1516.63793103448,6863.60689655172,1143.93448275862,1.28653504180535,0.241554253430306,0.128119474388888,0.296293565558432,3066.85932743927,2739.96573477985,3983.75025946206,6180.3227505531,1030.05379175885,1.6551724137931,0.0583484573502723,0.016414599717685,0.0877898769913288,9405626.13430125,7507412.22776771,15870266.129764,38196389.3010043,1061010.81391678,1,6,"0",28,"2","4","2","0","farming","1","1","1",0.666666666666667,0.666666666666667,0.833333333333333,4,"concrete","tin","1","concrete","0","1",1,"1","1",2,2
