food_type,calories_grams
Small prawn,5
Turmeric (not dried),1
Golda Chingree,5
Pui (Indian spinach),0.5
Katla,1
ong bean (Long bean?),1
Iodized salt,1
Non-iodized salt,1
Ash gourd,1
Coriander,1
Buttermilk,1
Ice Cream,1
Ice cream,1
Cinnamon,1
Khesari,1
Gur,1
"Sugar, including in Tea",1
Koi,1
Taki,1
Flaxseed,1
Mete alu,1.99
Pat Shak,2
Geema Shak,2
Tea leaves,2
Radish,2
Kakrol,2
Mouri,2
Dhundal,2
Green banana,2
Garlic,2
Salad,2
Shapla/padda/rupsha fish,2
Chicken,2
Black gram,2
Beher gura,2.3
Darkuni Shak,2.9
Panch mishali,3
Bharta,3
Swett gourd leaves,3
Other meat or egg,3
Swarputi,3
Other leafy vegetables,3
Jira,3
Chanda,3
Khesari Shak,3
Patal,3
Radish leaves,3
Karambola,3
Okra,3
Fresh 100% fruit juice,3
Milk,3
Mustard,3
Mustard-229,3
Potato,3
Jujube/dried jujube,3
olar mocha,3
Chital-167,3
Olive,3
Black gram leaves,3
Liver,3
Mutton,3
Hilsa,3
Maida (wheat flour w/o bran),3
Solid Cheese Curds,3
Chips,3
Moa/mola,3.98
Lau Shak,4
Dhela,4
Chaatu,4
Jaamrul,4
Water gourd,4
Cucumber,4
Ritha,4
Cabbage,4
Mustard leaves,4
Onion,4
Carrot,4
Bathua,4
Other fruit,4
Grapes,4
Other big fish,4
Dried small shrimp/prawn,4
Curd,4
Ata (bullock's heart),4
Chital-155,4
Almond/Badam,4
Bhuna curry,4
Sagu,4
Chewa,4
Karfu fish,4
Jack fruit seed,4
Bonroti/paoroti,4
Chhola/ghugni/boot,4
Garam Masala,4
Elachi,4
Duck,4
Black cumin,4
Chewing gum,4
Muri/Khoi (puffed rice),4
Groundnut,4
Brazilnut,4
Panchforan,4
Yellow Palm Oil,4
Lal Shak (red amaranth),5
Gura mach,5
Dhania Shak,5
Other food outside of home,5
Danta Shak,5
Baicha,5
Helencha,5
Neem Shak,5
Dudhali Pata,5
Tomato,5
Kalmi Shak,5
Palang Shak (spinach),5
Bokful,5
Lemon,5
Tarmuj (Water melon),5
Pomelo,5
Dried chili,5
Pine apple,5
Mague,5
Fig,5
Silver Carp,5
Kalo kachu Shak,5
Boal,5
Rice/Jao,5
Kachu (arum),5
nake gourd,5
Egg,5
Mrigel,5
Cerelac,5
Alur chap,5
Khichuri,5
Singi,5
Turmeric (dried),5
Dried Lentil,5
Dried Ginger,5
Bata,5
Parboiled rice (coarse),5
Dried Chick pea,5
Pumpkin Seed,5
Cashew Nut,5
Chanachur,5
Jatka,5
Kalibaus,6
Chapila,6
Ghutum,6
Tea –prepared,6
Sweet gourd,6
Eggplant,6
Mixed leafy vegetables,6
Bitter gourd,6
Bangi (Musk melon),6
Black berry,6
Baking powder,6
Drum stick,6
Litchis,6
Dates,6
Pea leaves,6
Banana,6
Sheem,6
Bel,6
Daal,6
Telapia,6
Tatkeni,6
Polao/Biryani/Tehari,6
Kachu Shak,6
Poa,6
Corn,6
Surma,6
Puti,6
Sugarcane/palm/date juice,6
Tejpata,6
Semai/noodles,6
Pitha,6
Danta (amaranth),6
Any nut butters,6
Chira (flattened rice),6
Katanate,7
Sobeda,7
Shalgom,7
Onion/garlic stalk,7
Coke/ Seven-up etc/Pepci/RC/Urocola etc,7
Other dairy,7
Other vegetable,7
Fresh Ginger,7
Dalim,7
Jack Fruit,7
Piaju,7
Pangash,7
Grass Carp,7
Mirror Carp,7
Palshe,7
Misri/tal mistri,7
Dried fish,7
Pigeon,7
Cottage cheese or Paneer,7
Singara,7
Dried small fish,7
Puri,7
Mung,7
Shapla,7
Chotpoti,7
Horlicks/Bournvita/Tang,7
Chela,7
Suji (cream of wheat/barley),7
Rice flour,7
Soybean,7
Til (sesame),7
Aair,8
Cauliflower,8
Dried Pea,8
Green chili,8
Green Papaya,8
Green Coconut,8
Amra,8
Orange,8
Apple,8
Mango,8
Drumstick leaves,8
Guava,8
Green pea,8
Green jackfruit,8
Rui,8
Other small fish,8
Fermented fish,8
Chestnut,8
Soybean bori,8
hickory,8
Patties,8
Nimki,8
Cake,8
Jhol curry,8
Chalta,8
Atta,8
Non-parboiled rice (coarse),8
Powdered Milk,8
Hazelnut,8
Pumpkin,9
Papaya,9
Packaged Juice,9
Dheki Shak,9
Stomach of beef/goat,9
Sweet potato,9
Anchor daal,9
Red Palm Oil,9
Kachki,9
Fish egg,9
Other spices or sweetener,9
Tengra,9
Dried meat,9
Condensed Milk,9
Barley,9
Bids/bok/gughu,9
Shem bitchi,10
Khalisa,10
Pickles,10
Yogurt,10
Burger,10
Wheat,10
Jhinga (ribbed gourd),11
Milk in Tea,11
Tobacco,11
Green mango,11
Coconut,11
Panta Bhaat,12
Kajari,12
Any fried food,12
Fine rice,12
Beef/buffalo,12
Ruti/Parota,12
Honey,12
Biscuit,12
Chocolate,12
Sesame oil,12
Other drink,14
Ghee,19
Dalda/banspati,19
Other oil,20
Kachur lati,20
Butter,22
Tamarind,33
Foli,43
Sweets,45
