"","food_name","calories_grams","food_ID","food_name_type"
"1","Aair",8,"157","fishlarge"
"2","Almond/Badam",4,"28","pulses"
"3","Alur chap",5,"273","otherfoodohome"
"4","Amra",8,"307","fruits"
"5","Anchor daal",9,"20","pulses"
"6","Any fried food",12,"290","otherfoodohome"
"7","Any nut butters",6,"44","pulses"
"8","Apple",8,"299","fruits"
"9","Ash gourd",1,"61","vegetables"
"10","Ata (bullock's heart)",4,"317","fruits"
"11","Atta",8,"7","cereals"
"12","Baicha",5,"203","fishsmall"
"13","Baking powder",6,"235","spices"
"14","Banana",6,"296","fruits"
"15","Bangi (Musk melon)",6,"320","fruits"
"16","Barley",9,"13","cereals"
"17","Bata",5,"196","fishsmall"
"18","Bathua",4,"98","leafyveg"
"19","Beef/buffalo",12,"127","meategg"
"20","Beher gura",2.3,"90","vegetables"
"21","Bel",6,"304","fruits"
"22","Bharta",3,"265","otherfoodohome"
"23","Bhuna curry",4,"268","otherfoodohome"
"24","Bids/bok/gughu",9,"132","meategg"
"25","Biscuit",12,"281","otherfoodohome"
"26","Bitter gourd",6,"55","vegetables"
"27","Black berry",6,"303","fruits"
"28","Black cumin",4,"228","spices"
"29","Black gram",2,"21","pulses"
"30","Black gram leaves",3,"119","leafyveg"
"31","Boal",5,"156","fishlarge"
"32","Bokful",5,"99","leafyveg"
"33","Bonroti/paoroti",4,"260","otherfoodohome"
"34","Brazilnut",4,"29","pulses"
"35","Burger",10,"261","otherfoodohome"
"36","Butter",22,"143","dairy"
"37","Buttermilk",1,"146","dairy"
"38","Cabbage",4,"100","leafyveg"
"39","Cake",8,"282","otherfoodohome"
"40","Carrot",4,"65","vegetables"
"41","Cashew Nut",5,"27","pulses"
"42","Cauliflower",8,"67","vegetables"
"43","Cerelac",5,"16","cereals"
"44","Chaatu",4,"10","cereals"
"45","Chalta",8,"318","fruits"
"46","Chanachur",5,"280","otherfoodohome"
"47","Chanda",3,"190","fishsmall"
"48","Chapila",6,"193","fishsmall"
"49","Chela",7,"192","fishsmall"
"50","Chestnut",8,"30","pulses"
"51","Chewa",4,"199","fishsmall"
"52","Chewing gum",4,"286","otherfoodohome"
"53","Chhola/ghugni/boot",4,"277","otherfoodohome"
"54","Chicken",2,"129","meategg"
"55","Chips",3,"284","otherfoodohome"
"56","Chira (flattened rice)",6,"11","cereals"
"57","Chocolate",12,"285","otherfoodohome"
"58","Chotpoti",7,"279","otherfoodohome"
"59","Cinnamon",1,"220","spices"
"60","Coconut",11,"300","fruits"
"61","Coke/ Seven-up etc/Pepci/RC/Urocola etc",7,"249","drinks"
"62","Condensed Milk",9,"142","dairy"
"63","Coriander",1,"224","spices"
"64","Corn",6,"15","cereals"
"65","Cottage cheese or Paneer",7,"145","dairy"
"66","Cucumber",4,"71","vegetables"
"67","Curd",4,"272","otherfoodohome"
"68","Daal",6,"269","otherfoodohome"
"69","Dalda/banspati",19,"48","oil"
"70","Dalim",7,"313","fruits"
"71","Danta (amaranth)",6,"73","vegetables"
"72","Danta Shak",5,"101","leafyveg"
"73","Darkuni Shak",2.9,"125","leafyveg"
"74","Dates",6,"315","fruits"
"75","Dhania Shak",5,"110","leafyveg"
"76","Dheki Shak",9,"109","leafyveg"
"77","Dhela",4,"187","fishsmall"
"78","Dhundal",2,"79","vegetables"
"79","Dried Chick pea",5,"19","pulses"
"80","Dried chili",5,"215","spices"
"81","Dried fish",7,"179","fishlarge"
"82","Dried Ginger",5,"226","spices"
"83","Dried Lentil",5,"18","pulses"
"84","Dried meat",9,"135","meategg"
"85","Dried Pea",8,"24","pulses"
"86","Dried small fish",7,"212","fishsmall"
"87","Dried small shrimp/prawn",4,"211","fishsmall"
"88","Drum stick",6,"85","vegetables"
"89","Drumstick leaves",8,"114","leafyveg"
"90","Duck",4,"130","meategg"
"91","Dudhali Pata",5,"118","leafyveg"
"92","Egg",5,"136","meategg"
"93","Eggplant",6,"57","vegetables"
"94","Elachi",4,"219","spices"
"95","Fermented fish",8,"213","fishsmall"
"96","Fig",5,"84","vegetables"
"97","Fine rice",12,"3","cereals"
"98","Fish egg",9,"137","meategg"
"99","Flaxseed",1,"39","pulses"
"100","Foli",43,"201","fishsmall"
"101","Fresh 100% fruit juice",3,"253","drinks"
"102","Fresh Ginger",7,"225","spices"
"103","Garam Masala",4,"227","spices"
"104","Garlic",2,"78","vegetables"
"105","Geema Shak",2,"123","leafyveg"
"106","Ghee",19,"49","oil"
"107","Ghutum",6,"197","fishsmall"
"108","Golda Chingree",5,"176","fishlarge"
"109","Grapes",4,"306","fruits"
"110","Grass Carp",7,"162","fishlarge"
"111","Green banana",2,"68","vegetables"
"112","Green chili",8,"70","vegetables"
"113","Green Coconut",8,"316","fruits"
"114","Green jackfruit",8,"87","vegetables"
"115","Green mango",11,"76","vegetables"
"116","Green Papaya",8,"69","vegetables"
"117","Green pea",8,"83","vegetables"
"118","Groundnut",4,"26","pulses"
"119","Guava",8,"309","fruits"
"120","Gur",1,"238","spices"
"121","Gura mach",5,"181","fishsmall"
"122","Hazelnut",8,"31","pulses"
"123","Helencha",5,"102","leafyveg"
"124","hickory",8,"32","pulses"
"125","Hilsa",3,"160","fishlarge"
"126","Honey",12,"242","spices"
"127","Horlicks/Bournvita/Tang",7,"251","drinks"
"128","Ice cream",1,"293","otherfoodohome"
