"","hh_ID","house_rooms_sleeping","housefloor_material","houseroof_material","house_elec","housewall_material"
"1",101001,1,"concrete","tin","0","concrete"
"2",101002,3,"mud","tin","1","tin"
"3",101003,3,"mud","tin","1","tin"
"4",101004,3,"mud","other","0","concrete"
"5",101005,3,"concrete","tin","0","other"
"6",101006,3,"concrete","tin","0","concrete"
"7",101007,2,"mud","other","0","other"
"8",101009,2,"concrete","other","1","concrete"
"9",101011,1,"mud","tin","1","tin"
"10",101013,2,"mud","tin","0","tin"
"11",102015,3,"concrete","other","0","concrete"
"12",102017,3,"mud","tin","0","concrete"
"13",102020,2,"mud","tin","0","concrete"
"14",102023,2,"mud","tin","0","tin"
"15",102025,3,"mud","tin","0","concrete"
"16",103026,3,"mud","other","1","tin"
"17",103028,5,"mud","tin","0","concrete"
"18",103029,5,"concrete","tin","0","concrete"
"19",103030,2,"mud","tin","0","concrete"
"20",103031,3,"mud","tin","0","concrete"
"21",103032,3,"mud","tin","0","concrete"
"22",103034,2,"mud","tin","1","other"
"23",103035,2,"mud","tin","0","tin"
"24",103036,2,"mud","other","0","other"
"25",104038,3,"mud","other","1","concrete"
"26",104040,2,"concrete","tin","1","concrete"
"27",104041,4,"mud","tin","1","concrete"
"28",104044,1,"mud","other","1","concrete"
"29",105045,2,"mud","tin","1","concrete"
"30",105046,4,"concrete","tin","1","concrete"
"31",105047,2,"concrete","tin","1","concrete"
"32",105049,2,"mud","tin","1","tin"
"33",105050,1,"mud","tin","1","tin"
"34",105051,2,"mud","tin","0","tin"
"35",105055,1,"mud","tin","1","tin"
"36",106056,3,"mud","other","1","tin"
"37",106057,1,"mud","tin","1","other"
"38",106058,3,"other","other","1","other"
"39",106060,2,"mud","tin","1","tin"
"40",106061,2,"mud","tin","0","other"
"41",106063,4,"concrete","tin","1","concrete"
"42",106064,3,"mud","other","1","concrete"
"43",106065,3,"concrete","tin","1","concrete"
"44",106066,2,"concrete","tin","0","concrete"
"45",106067,4,"mud","other","1","other"
"46",107068,2,"mud","tin","0","concrete"
"47",107070,1,"mud","tin","0","tin"
"48",107073,4,"concrete","other","0","concrete"
"49",107074,3,"mud","other","0","other"
"50",107079,2,"mud","tin","0","tin"
"51",107080,2,"mud","tin","0","tin"
"52",107082,4,"concrete","tin","0","concrete"
"53",108085,3,"concrete","tin","0","concrete"
"54",108086,3,"mud","tin","1","concrete"
"55",108087,3,"concrete","tin","1","concrete"
"56",108088,2,"mud","tin","0","tin"
"57",108089,4,"concrete","tin","1","concrete"
"58",108090,1,"mud","other","0","tin"
"59",108091,2,"mud","tin","0","tin"
"60",108092,2,"mud","tin","0","tin"
"61",108093,4,"mud","tin","1","concrete"
"62",108094,3,"mud","tin","0","tin"
"63",108095,3,"mud","tin","1","tin"
"64",108096,3,"mud","tin","1","tin"
"65",108097,3,"concrete","tin","1","concrete"
"66",109098,3,"mud","other","0","concrete"
"67",109099,2,"mud","tin","0","concrete"
"68",109100,2,"mud","tin","0","concrete"
"69",109101,5,"concrete","tin","0","concrete"
"70",109102,3,"concrete","tin","0","concrete"
"71",109103,6,"mud","tin","0","concrete"
"72",109105,2,"concrete","other","0","concrete"
"73",110106,2,"mud","tin","0","tin"
"74",110108,2,"concrete","tin","0","concrete"
"75",110109,2,"concrete","tin","0","concrete"
"76",110110,2,"mud","tin","0","other"
"77",110111,3,"mud","tin","0","concrete"
"78",110112,2,"mud","tin","1","concrete"
"79",111115,3,"concrete","tin","0","concrete"
"80",112122,6,"mud","tin","1","concrete"
"81",112125,4,"concrete","tin","1","concrete"
"82",112126,2,"concrete","other","1","concrete"
