"","hh_ID","use_lat","count_latrine","main_use_flush","defecation_public"
"1",101001,"1",1,"1","1"
"2",101002,"1",1,"1","0"
"3",101003,"1",2,"1","1"
"4",101004,"1",1,"1","0"
"5",101005,"1",1,"1","1"
"6",101006,"1",1,"1","0"
"7",101007,"1",1,"1","1"
"8",101009,"1",3,"1","0"
"9",101011,"1",1,"0","1"
"10",101013,"1",1,"1","0"
"11",102017,"1",1,"1","1"
"12",102020,"1",2,"0","0"
"13",102023,"1",3,"0","1"
"14",102025,"1",1,"1","1"
"15",103026,"1",3,"0","1"
"16",103028,"1",1,"1","1"
"17",103029,"1",1,"1","1"
"18",103030,"1",1,"1","0"
"19",103031,"1",1,"1","0"
"20",103032,"1",1,"1","1"
"21",103034,"1",1,"1","1"
"22",103035,"1",4,"1","0"
"23",103036,"1",1,"1","1"
"24",104038,"1",1,"1","1"
"25",104040,"1",1,"1","1"
"26",105045,"1",1,"1","0"
"27",105047,"1",1,"1","1"
"28",105049,"1",1,"1","0"
"29",105050,"1",2,"1","0"
"30",105055,"1",3,"0","0"
"31",106056,"1",2,"1","1"
"32",106057,"1",1,"1","1"
"33",106058,"1",2,"1","1"
"34",106059,"1",6,"1","0"
"35",106060,"1",1,"0","0"
"36",106061,"1",1,"1","0"
"37",106063,"1",2,"1","0"
"38",106064,"1",1,"1","1"
"39",106065,"1",1,"1","0"
"40",106066,"1",1,"1","0"
"41",106067,"1",1,"1","0"
"42",107068,"1",1,"1","0"
"43",107070,"1",1,"1","1"
"44",107073,"1",1,"1","1"
"45",107074,"1",1,"0","1"
"46",107079,"1",2,"0","1"
"47",107080,"1",1,"1","1"
"48",107082,"1",2,"1","1"
"49",107083,"1",2,"1","1"
"50",108085,"1",1,"1","1"
"51",108086,"1",1,"1","1"
"52",108087,"1",1,"1","1"
"53",108088,"1",1,"1","1"
"54",108089,"1",1,"1","1"
"55",108090,"1",1,"1","1"
"56",108091,"1",1,"1","1"
"57",108092,"1",1,"1","1"
"58",108093,"1",1,"1","1"
"59",108094,"1",1,"1","1"
"60",108095,"1",1,"1","0"
"61",108096,"1",1,"0","0"
"62",108097,"1",1,"1","1"
"63",109098,"1",1,"1","1"
"64",109099,"1",1,"1","1"
"65",109100,"1",1,"1","1"
"66",109101,"1",2,"1","0"
"67",109102,"1",2,"1","1"
"68",109103,"1",1,"0","0"
"69",109104,"0",1,"0","0"
"70",109105,"1",1,"1","0"
"71",110106,"1",1,"1","1"
"72",110108,"1",1,"0","0"
"73",110109,"1",1,"1","0"
"74",110110,"1",1,"1","0"
"75",110111,"1",1,"0","0"
"76",110112,"1",1,"1","0"
"77",111115,"1",2,"1","0"
"78",112122,"1",2,"1","1"
"79",112126,"1",3,"1","1"
"80",112127,"1",2,"1","1"
"81",112128,"1",2,"1","0"
"82",112129,"1",1,"0","0"
"83",112130,"1",1,"1","1"
"84",112131,"1",2,"1","0"
"85",112132,"1",3,"1","1"
"86",113134,"1",2,"1","0"
"87",113135,"1",2,"1","0"
"88",113137,"1",2,"1","0"
"89",113139,"1",1,"1","1"
"90",113140,"1",2,"1","0"
"91",113141,"1",1,"1","0"
"92",113143,"1",2,"1","1"
"93",113144,"1",1,"1","1"
"94",113147,"1",1,"1","0"
"95",113148,"1",1,"0","1"
"96",114149,"1",2,"1","1"
"97",114150,"1",2,"1","0"
"98",114151,"1",1,"1","1"
"99",115156,"1",1,"0","0"
"100",115158,"1",1,"0","1"
"101",115159,"1",1,"1","0"
"102",115160,"1",1,"0","0"
"103",115161,"1",5,"1","0"
"104",115162,"1",4,"1","0"
"105",115164,"1",1,"0","1"
"106",115165,"1",1,"1","0"
"107",116168,"1",1,"1","1"
"108",116169,"1",1,"1","1"
"109",116170,"1",1,"1","0"
"110",116171,"1",1,"1","0"
"111",116173,"1",1,"1","1"
"112",116175,"1",1,"1","0"
"113",116176,"1",2,"1","1"
"114",116179,"1",1,"1","1"
"115",116180,"1",1,"0","1"
"116",117181,"1",1,"0","0"
"117",117182,"1",1,"0","1"
"118",117186,"1",3,"0","1"
"119",117188,"1",1,"1","1"
"120",117189,"1",4,"1","1"
"121",117190,"1",1,"1","0"
"122",117191,"1",1,"0","0"
"123",117192,"1",1,"0","1"
"124",117193,"1",1,"1","1"
"125",118194,"1",1,"1","0"
"126",118195,"1",1,"1","0"
"127",118196,"1",2,"1","1"
"128",118197,"1",1,"1","1"
"129",118198,"1",1,"1","0"
"130",118199,"1",1,"0","0"
"131",118200,"1",2,"0","0"
"132",118201,"1",1,"0","0"
"133",118202,"1",1,"1","1"
"134",118203,"1",1,"1","1"
"135",118205,"1",3,"0","0"
"136",118206,"1",1,"1","1"
"137",118207,"1",1,"0","1"
"138",118208,"1",1,"1","1"
"139",118209,"1",1,"0","1"
"140",118211,"1",1,"1","0"
"141",118212,"1",1,"0","1"
"142",119213,"1",1,"1","1"
"143",119214,"1",1,"0","1"
"144",119215,"1",3,"1","1"
"145",119216,"1",1,"1","1"
"146",119217,"1",1,"1","1"
"147",119218,"1",5,"1","0"
"148",119220,"1",1,"1","0"
"149",120224,"1",1,"1","1"
