"","hh_ID","totalCultivablePlot","totalOwnPlot"
"1",101001,1,1
"2",101002,0,1
"3",101003,1,1
"4",101004,0,1
"5",101005,1,0
"6",101006,0,1
"7",101007,2,2
"8",101009,2,1
"9",101010,1,1
"10",101011,0,0
"11",101012,1,1
"12",101013,1,0
"13",102015,1,1
"14",102016,1,0
"15",102017,0,1
"16",102020,0,3
"17",102022,0,1
"18",102023,0,1
"19",102024,0,1
"20",102025,0,1
"21",103029,1,1
"22",103030,1,1
"23",103031,1,1
"24",103032,1,1
"25",103034,2,2
"26",103035,1,0
"27",103036,1,1
"28",104037,1,1
"29",104038,1,0
"30",104039,1,1
"31",104041,1,1
"32",104043,1,1
"33",105045,1,0
"34",105046,1,1
"35",105047,2,2
"36",105048,1,1
"37",105049,1,2
"38",105050,0,1
"39",105053,1,1
"40",105054,0,0
"41",105055,1,1
"42",106056,1,1
"43",106057,0,1
"44",106058,0,1
"45",106060,0,1
"46",106061,1,1
"47",106063,1,1
"48",106064,0,1
"49",106065,1,0
"50",106066,1,1
"51",107070,1,1
"52",107072,1,1
"53",107073,0,0
"54",107074,1,1
"55",107076,1,1
"56",107077,1,1
"57",107079,2,2
"58",107081,1,1
"59",107082,1,1
"60",108084,1,1
"61",108085,1,0
"62",108086,1,1
"63",108088,1,1
"64",108089,2,2
"65",108091,0,7
"66",108093,2,2
"67",108095,1,1
"68",108097,1,1
"69",109098,1,1
"70",109099,1,0
"71",109101,1,1
"72",109104,1,1
"73",109105,1,1
"74",110106,1,1
"75",110107,1,1
"76",110108,1,1
"77",110109,1,0
"78",110110,2,2
"79",110111,0,1
"80",110112,1,1
"81",110114,1,1
"82",111115,0,1
"83",111116,0,0
"84",111117,1,1
"85",111120,0,0
"86",111121,1,1
"87",112122,2,2
"88",112123,1,1
"89",112124,0,1
"90",112125,1,1
"91",112127,1,1
"92",112128,0,3
"93",112130,1,1
"94",112131,1,1
"95",112132,2,2
"96",112133,1,1
"97",113134,0,0
"98",113135,2,2
"99",113137,1,1
"100",113138,1,1
"101",113139,1,1
"102",113140,0,2
"103",113141,1,1
"104",113142,1,0
"105",113143,1,1
"106",113144,1,1
"107",113145,1,1
"108",113146,0,0
"109",113147,1,0
"110",114149,1,1
"111",114150,1,0
"112",114152,1,1
"113",114153,0,0
"114",114154,1,0
"115",114155,1,1
"116",115156,0,1
"117",115157,1,1
"118",115158,0,1
"119",115159,0,1
"120",115160,0,1
"121",115162,0,1
"122",115163,1,1
"123",115164,1,0
"124",115165,1,0
"125",116167,3,3
"126",116168,0,0
"127",116169,1,1
"128",116170,1,1
"129",116171,1,1
"130",116172,1,1
"131",116173,1,1
"132",116174,0,0
"133",116175,1,1
"134",116177,1,0
"135",116178,1,0
"136",116179,1,1
"137",116180,0,0
"138",117181,2,2
"139",117182,1,1
"140",117183,0,1
"141",117184,1,1
"142",117186,1,0
"143",117188,0,1
"144",117189,1,1
"145",117190,1,1
"146",117191,1,1
"147",117193,1,1
"148",118195,1,1
"149",118197,0,1
"150",118198,1,0
"151",118199,1,1
"152",118201,1,0
"153",118202,1,1
"154",118203,1,1
"155",118204,1,1
"156",118205,1,1
